"id","identifier","effect"
"1","stench","Has a 10% chance of making target Pok??mon [flinch]{mechanic:flinch} with each hit."
"2","drizzle","Summons [rain]{mechanic:rain} that lasts indefinitely upon entering battle."
"3","speed-boost","Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} after each turn."
"4","battle-armor","Protects against [critical hits]{mechanic:critical-hit}."
"5","sturdy","Prevents being KOed from full [HP]{mechanic:hp}, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
"6","damp","Prevents []{move:self-destruct}, []{move:explosion}, and []{ability:aftermath} from working while the Pok??mon is in battle."
"7","limber","Prevents [paralysis]{mechanic:paralysis}."
"8","sand-veil","Increases [evasion]{mechanic:evasion} to 1.25?? during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage."
"9","static","Has a 30% chance of [paralyzing]{mechanic:paralysis} attacking Pok??mon on contact."
"10","volt-absorb","Absorbs []{type:electric} moves, healing for 1/4 max [HP]{mechanic:hp}."
"11","water-absorb","Absorbs []{type:water} moves, healing for 1/4 max [HP]{mechanic:hp}."
"12","oblivious","Prevents [infatuation]{mechanic:infatuation} and protects against []{move:captivate}."
"13","cloud-nine","Negates all effects of [weather]{mechanic:weather}, but does not prevent the weather itself."
"14","compound-eyes","Increases moves' [accuracy]{mechanic:accuracy} to 1.3??."
"15","insomnia","Prevents [sleep]{mechanic:sleep}."
"16","color-change","Changes type to match when hit by a damaging move."
"17","immunity","Prevents [poison]{mechanic:poison}."
"18","flash-fire","Protects against []{type:fire} moves.  Once one has been blocked, the Pok??mon's own Fire moves inflict 1.5?? damage until it leaves battle."
"19","shield-dust","Protects against incoming moves' extra effects."
"20","own-tempo","Prevents [confusion]{mechanic:confusion}."
"21","suction-cups","Prevents being forced out of battle by other Pok??mon's moves."
"22","intimidate","Lowers opponents' [Attack]{mechanic:attack} one [stage]{mechanic:stat-modifier} upon entering battle."
"23","shadow-tag","Prevents opponents from fleeing or switching out."
"24","rough-skin","Damages attacking Pok??mon for 1/8 their max [HP]{mechanic:hp} on contact."
"25","wonder-guard","Protects against damaging moves that are not [super effective]{mechanic:super-effective}."
"26","levitate","Evades []{type:ground} moves."
"27","effect-spore","Has a 30% chance of inflcting either [paralysis]{mechanic:paralysis}, [poison]{mechanic:poison}, or [sleep]{mechanic:sleep} on attacking Pok??mon on contact."
"28","synchronize","Copies [burns]{mechanic:burn}, [paralysis]{mechanic:paralysis}, and [poison]{mechanic:poison} received onto the Pok??mon that inflicted them."
"29","clear-body","Prevents stats from being [lowered]{mechanic:stat-modifier} by other Pok??mon."
"30","natural-cure","Cures any [major status ailment]{mechanic:major-status-ailment} upon switching out."
"31","lightning-rod","Redirects single-target []{type:electric} moves to this Pok??mon where possible.  Absorbs Electric moves, raising [Special Attack]{mechanic:special-attack} one [stage]{mechanic:stat-modifier}."
"32","serene-grace","Doubles the chance of moves' extra effects occurring."
"33","swift-swim","Doubles [Speed]{mechanic:speed} during [rain]{mechanic:rain}."
"34","chlorophyll","Doubles [Speed]{mechanic:speed} during [strong sunlight]{mechanic:strong-sunlight}."
"35","illuminate","Doubles the wild encounter rate."
"36","trace","Copies an opponent's ability upon entering battle."
"37","huge-power","Doubles [Attack]{mechanic:attack} in battle."
"38","poison-point","Has a 30% chance of [poisoning]{mechanic:poison} attacking Pok??mon on contact."
"39","inner-focus","Prevents [flinching]{mechanic:flinching}."
"40","magma-armor","Prevents [freezing]{mechanic:freezing}."
"41","water-veil","Prevents [burns]{mechanic:burn}."
"42","magnet-pull","Prevents []{type:steel} opponents from fleeing or switching out."
"43","soundproof","Protects against sound-based moves."
"44","rain-dish","Heals for 1/16 max [HP]{mechanic:hp} after each turn during [rain]{mechanic:rain}."
"45","sand-stream","Summons a [sandstorm]{mechanic:sandstorm} that lasts indefinitely upon entering battle."
"46","pressure","Increases the [PP]{mechanic:pp} cost of moves targetting the Pok??mon by one."
"47","thick-fat","Halves damage from []{type:fire} and []{type:ice} moves."
"48","early-bird","Makes [sleep]{mechanic:sleep} pass twice as quickly."
"49","flame-body","Has a 30% chance of [burning]{mechanic:burn} attacking Pok??mon on contact."
"50","run-away","Ensures success fleeing from wild battles."
"51","keen-eye","Prevents [accuracy]{mechanic:accuracy} from being [lowered]{mechanic:stat-modifier}."
"52","hyper-cutter","Prevents [Attack]{mechanic:attack} from being [lowered]{mechanic:stat-modifiers} by other Pok??mon."
"53","pickup","Picks up other Pok??mon's used and [Flung]{move:fling} held items.  May also pick up an item after battle."
"54","truant","Skips every second turn."
"55","hustle","Strengthens physical moves to inflict 1.5?? damage, but decreases their [accuracy]{mechanic:accuracy} to 0.8??."
"56","cute-charm","Has a 30% chance of [infatuating]{mechanic:infatuation} attacking Pok??mon on contact."
"57","plus","Increases [Special Attack]{mechanic:special-attack} to 1.5?? when a friendly Pok??mon has []{ability:plus} or []{ability:minus}."
"58","minus","Increases [Special Attack]{mechanic:special-attack} to 1.5?? when a friendly Pok??mon has []{ability:plus} or []{ability:minus}."
"59","forecast","Changes []{pokemon:castform}'s type and form to match the [weather]{mechanic:weather}."
"60","sticky-hold","Prevents a held item from being removed by other Pok??mon."
"61","shed-skin","Has a 33% chance of curing any [major status ailment]{mechanic:major-status-ailment} after each turn."
"62","guts","Increases [Attack]{mechanic:attack} to 1.5?? with a [major status ailment]{mechanic:major-status-ailment}."
"63","marvel-scale","Increases [Defense]{mechanic:defense} to 1.5?? with a [major status ailment]{mechanic:major-status-ailment}."
"64","liquid-ooze","Damages opponents using leeching moves for as much as they would heal."
"65","overgrow","Strengthens []{type:grass} moves to inflict 1.5?? damage at 1/3 max [HP]{mechanic:hp} or less."
"66","blaze","Strengthens []{type:fire} moves to inflict 1.5?? damage at 1/3 max [HP]{mechanic:hp} or less."
"67","torrent","Strengthens []{type:water} moves to inflict 1.5?? damage at 1/3 max [HP]{mechanic:hp} or less."
"68","swarm","Strengthens []{type:bug} moves to inflict 1.5?? damage at 1/3 max [HP]{mechanic:hp} or less."
"69","rock-head","Protects against recoil damage."
"70","drought","Summons [strong sunlight]{mechanic:strong-sunlight} that lasts indefinitely upon entering battle."
"71","arena-trap","Prevents opponents from fleeing or switching out.  Eluded by []{type:flying}-types and Pok??mon in the air."
"72","vital-spirit","Prevents [sleep]{mechanic:sleep}."
"73","white-smoke","Prevents stats from being [lowered]{mechanic:stat-modifier} by other Pok??mon."
"74","pure-power","Doubles [Attack]{mechanic:attack} in battle."
"75","shell-armor","Protects against [critical hits]{mechanic:critical-hit}."
"76","air-lock","Negates all effects of [weather]{mechanic:weather}, but does not prevent the weather itself."
"77","tangled-feet","Doubles [evasion]{mechanic:evasion} when [confused]{mechanic:confusion}."
"78","motor-drive","Absorbs []{type:electric} moves, raising [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier}."
"79","rivalry","Increases damage inflicted to 1.25?? against Pok??mon of the same gender, but decreases damage to 0.75?? against the opposite gender."
"80","steadfast","Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} upon [flinching]{mechanic:flinching}."
"81","snow-cloak","Increases evasion to 1.25?? during [hail]{mechanic:hail}.  Protects against hail damage."
"82","gluttony","Makes the Pok??mon eat any held Berry triggered by low [HP]{mechanic:hp} below 1/2 its max HP."
"83","anger-point","Raises [Attack]{mechanic:attack} to the maximum of six [stages]{mechanic:stat-modifier} upon receiving a [critical hit]{mechanic:critical-hit}."
"84","unburden","Doubles [Speed]{mechanic:speed} upon using or losing a held item."
"85","heatproof","Halves damage from []{type:fire} moves and [burns]{mechanic:burn}."
"86","simple","Doubles the Pok??mon's [stat modifiers]{mechanic:stat-modifiers}.  These doubled modifiers are still capped at -6 or 6 stages."
"87","dry-skin","Causes 1/8 max [HP]{mechanic:hp} in damage each turn during [strong sunlight]{mechanic:strong-sunlight}, but heals for 1/8 max HP during [rain]{mechanic:rain}.  Increases damage from []{type:fire} moves to 1.25??, but absorbs []{type:water} moves, healing for 1/4 max HP."
"88","download","Raises the attack stat corresponding to the opponents' weaker defense one [stage]{mechanic:stat-modifier} upon entering battle."
"89","iron-fist","Strengthens punch-based moves to 1.2?? their power."
"90","poison-heal","Heals for 1/8 max [HP]{mechanic:hp} after each turn when [poisoned]{mechanic:poison} in place of damage."
"91","adaptability","Increases the [same-type attack bonus]{mechanic:same-type-attack-bonus} from 1.5?? to 2??."
"92","skill-link","Extends two-to-five-hit moves and []{move:triple-kick} to their full length every time."
"93","hydration","Cures any [major status ailment]{mechanic:major-status-ailment} after each turn during [rain]{mechanic:rain}."
"94","solar-power","Increases [Special Attack]{mechanic:special-attack} to 1.5?? but costs 1/8 max [HP]{mechanic:hp} after each turn during [strong sunlight]{mechanic:strong-sunlight}."
"95","quick-feet","Increases [Speed]{mechanic:speed} to 1.5?? with a [major status ailment]{mechanic:major-status-ailment}."
"96","normalize","Makes the Pok??mon's moves all act []{type:normal}-type."
"97","sniper","Strengthens [critical hits]{mechanic:critical-hit} to inflict 3?? damage rather than 2??."
"98","magic-guard","Protects against damage not directly caused by a move."
"99","no-guard","Ensures all moves used by and against the Pok??mon hit."
"100","stall","Makes the Pok??mon move last within its move's priority bracket."
"101","technician","Strengthens moves of 60 base power or less to 1.5?? their power."
"102","leaf-guard","Protects against [major status ailments]{mechanic:major-status-ailments} during [strong sunlight]{mechanic:strong-sunlight}."
"103","klutz","Prevents the Pok??mon from using its held item in battle."
"104","mold-breaker","Bypasses targets' abilities if they could hinder or prevent a move."
"105","super-luck","Raises moves' [critical hit]{mechanic:critical-hit} rates one stage."
"106","aftermath","Damages the attacker for 1/4 its max [HP]{mechanic:hp} when knocked out by a contact move."
"107","anticipation","Notifies all trainers upon entering battle if an opponent has a [super-effective]{mechanic:super-effective} move, []{move:self-destruct}, []{move:explosion}, or a one-hit KO move."
"108","forewarn","Reveals the opponents' strongest move upon entering battle."
"109","unaware","Ignores other Pok??mon's stat modifiers for damage and accuracy calculation."
"110","tinted-lens","Doubles damage inflicted with [not-very-effective]{mechanic:not-very-effective} moves."
"111","filter","Decreases damage taken from [super-effective]{mechanic:super-effective} moves by 1/4."
"112","slow-start","Halves [Attack]{mechanic:attack} and [Speed]{mechanic:speed} for five turns upon entering battle."
"113","scrappy","Lets the Pok??mon's []{type:normal} and []{type:fighting} moves hit []{type:ghost} Pok??mon."
"114","storm-drain","Redirects single-target []{type:water} moves to this Pok??mon where possible.  Absorbs Water moves, raising [Special Attack]{mechanic:special-attack} one [stage]{mechanic:stat-modifier}."
"115","ice-body","Heals for 1/16 max [HP]{mechanic:hp} after each turn during hail.  Protects against hail damage."
"116","solid-rock","Decreases damage taken from [super-effective]{mechanic:super-effective} moves by 1/4."
"117","snow-warning","Summons [hail]{mechanic:hail} that lasts indefinitely upon entering battle."
"118","honey-gather","The Pok??mon may pick up []{item:honey} after battle."
"119","frisk","Reveals an opponent's held item upon entering battle."
"120","reckless","Strengthens recoil moves to 1.2?? their power."
"121","multitype","Changes []{pokemon:arceus}'s type and form to match its held Plate."
"122","flower-gift","Increases friendly Pok??mon's [Attack]{mechanic:attack} and [Special Defense]{mechanic:special-defense} to 1.5?? during [strong sunlight]{mechanic:strong-sunlight}."
"123","bad-dreams","Damages [sleeping]{mechanic:sleep} opponents for 1/8 their max [HP]{mechanic:hp} after each turn."
"124","pickpocket","Steals attacking Pok??mon's held items on contact."
"125","sheer-force","Strengthens moves with extra effects to 1.3?? their power, but prevents their extra effects."
"126","contrary","Inverts [stat changes]{mechanic:stat-modifiers}."
"127","unnerve","Prevents opposing Pok??mon from eating held Berries."
"128","defiant","Raises [Attack]{mechanic:attack} two [stages]{mechanic:stat-modifier} upon having any stat lowered."
"129","defeatist","Halves [Attack]{mechanic:attack} and [Special Attack]{mechanic:special-attack} at 50% max [HP]{mechanic:hp} or less."
"130","cursed-body","Has a 30% chance of [Disabling]{move:disable} any move that hits the Pok??mon."
"131","healer","Has a 30% chance of curing each adjacent ally of any [major status ailment]{mechanic:major-status-ailment} after each turn."
"132","friend-guard","Decreases all direct damage taken by friendly Pok??mon to 0.75??."
"133","weak-armor","Raises [Speed]{mechanic:speed} and lowers [Defense]{mechanic:defense} by one stage each upon being hit by a physical move."
"134","heavy-metal","Doubles the Pok??mon's weight."
"135","light-metal","Halves the Pok??mon's weight."
"136","multiscale","Halves damage taken from full [HP]{mechanic:hp}."
"137","toxic-boost","Increases [Attack]{mechanic:attack} to 1.5?? when [poisoned]{mechanic:poison}."
"138","flare-boost","Increases [Special Attack]{mechanic:special-attack} to 1.5?? when [burned]{mechanic:burn}."
"139","harvest","Has a 50% chance of restoring a used Berry after each turn if the Pok??mon has held no items in the meantime."
"140","telepathy","Protects against friendly Pok??mon's damaging moves."
"141","moody","Raises a random stat two [stages]{mechanic:stat-modifier} and lowers another one stage after each turn."
"142","overcoat","Protects against damage from [weather]{mechanic:weather}."
"143","poison-touch","Has a 30% chance of [poisoning]{mechanic:poison} target Pok??mon upon contact."
"144","regenerator","Heals for 1/3 max [HP]{mechanic:hp} upon switching out."
"145","big-pecks","Protects against [Defense]{mechanic:defense} drops."
"146","sand-rush","Doubles [Speed]{mechanic:speed} during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage."
"147","wonder-skin","Lowers incoming non-damaging moves' base [accuracy]{mechanic:accuracy} to exactly 50%."
"148","analytic","Strengthens moves to 1.3?? their power when moving last."
"149","illusion","Takes the appearance of the last conscious party Pok??mon upon being sent out until hit by a damaging move."
"150","imposter","[Transforms]{move:transform} upon entering battle."
"151","infiltrator","Bypasses []{move:light-screen}, []{move:reflect}, and []{move:safeguard}."
"152","mummy","Changes attacking Pok??mon's abilities to Mummy on contact."
"153","moxie","Raises [Attack]{mechanic:attack} one stage upon KOing a Pok??mon."
"154","justified","Raises [Attack]{mechanic:attack} one stage upon taking damage from a []{type:dark} move."
"155","rattled","Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} upon being hit by a []{type:dark}, []{type:ghost}, or []{type:bug} move."
"156","magic-bounce","Reflects most non-damaging moves back at their user."
"157","sap-sipper","Absorbs []{type:grass} moves, raising [Attack]{mechanic:attack} one [stage]{mechanic:stat-modifier}."
"158","prankster","Raises non-damaging moves' priority by one stage."
"159","sand-force","Strengthens []{type:rock}, []{type:ground}, and []{type:steel} moves to 1.3?? their power during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage."
"160","iron-barbs","Damages attacking Pok??mon for 1/8 their max [HP]{mechanic:hp} on contact."
"161","zen-mode","Changes []{pokemon:darmanitan}'s form after each turn depending on its [HP]{mechanic:hp}: Zen Mode below 50% max HP, and Standard Mode otherwise."
"162","victory-star","Increases moves' accuracy to 1.1?? for friendly Pok??mon."
"163","turboblaze","Bypasses targets' abilities if they could hinder or prevent moves."
"164","teravolt","Bypasses targets' abilities if they could hinder or prevent moves."
"165","aroma-veil","Protects allies against moves that affect their mental state."
"166","flower-veil","Protects friendly []{type:grass} Pok??mon from having their stats lowered by other Pok??mon."
"167","cheek-pouch","Restores HP upon eating a Berry, in addition to the Berry's effect."
"168","protean","Changes the bearer's type to match each move it uses."
"169","fur-coat","Halves damage from physical attacks."
"170","magician","Steals the target's held item when the bearer uses a damaging move."
"171","bulletproof","Protects against bullet, ball, and bomb-based moves."
"172","competitive","Raises Special Attack by two stages upon having any stat lowered."
"173","strong-jaw","Strengthens biting moves to 1.5?? their power."
"174","refrigerate","Turns the bearer's []{type:normal} moves into []{type:ice} moves and strengthens them to 1.3?? their power."
"175","sweet-veil","Prevents friendly Pok??mon from sleeping."
"176","stance-change","Changes []{pokemon:aegislash} to Blade Forme before using a damaging move, or Shield Forme before using []{move:kings-shield}."
"177","gale-wings","Raises []{type:flying} moves' priority by one stage."
"178","mega-launcher","Strengthens aura and pulse moves to 1.5?? their power."
"179","grass-pelt","Boosts Defense while []{move:grassy-terrain} is in effect."
"180","symbiosis","Passes the bearer's held item to an ally when the ally uses up its item."
"181","tough-claws","Strengthens moves that make contact to 1.33?? their power."
"182","pixilate","Turns the bearer's []{type:normal} moves into []{type:fairy} moves and strengthens them to 1.3?? their power."
"183","gooey","Lowers attacking Pok??mon's Speed by one stage on contact."
"184","aerilate","Turns the bearer's []{type:normal} moves into []{type:flying} moves and strengthens them to 1.3?? their power."
"185","parental-bond","Lets the bearer hit twice with damaging moves.  The second hit has half power."
"186","dark-aura","Strengthens []{type:dark} moves to 1.33?? their power for all friendly and opposing Pok??mon."
"187","fairy-aura","Strengthens []{type:fairy} moves to 1.33?? their power for all friendly and opposing Pok??mon."
"188","aura-break","Makes []{ability:dark-aura} and []{ability:fairy-aura} weaken moves of their respective types."
"189","primordial-sea",""
"190","desolate-land",""
"191","delta-stream",""
