ability_id,local_language_id,effect
1,9,Has a 10% chance of making target Pokémon [flinch]{mechanic:flinch} with each hit.
2,9,Summons [rain]{mechanic:rain} that lasts indefinitely upon entering battle.
3,9,Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} after each turn.
4,9,Protects against [critical hits]{mechanic:critical-hit}.
5,9,"Prevents being KOed from full [HP]{mechanic:hp}, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
6,9,"Prevents []{move:self-destruct}, []{move:explosion}, and []{ability:aftermath} from working while the Pokémon is in battle."
7,9,Prevents [paralysis]{mechanic:paralysis}.
8,9,Increases [evasion]{mechanic:evasion} to 1.25× during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage.
9,9,Has a 30% chance of [paralyzing]{mechanic:paralysis} attacking Pokémon on contact.
10,9,"Absorbs []{type:electric} moves, healing for 1/4 max [HP]{mechanic:hp}."
11,9,"Absorbs []{type:water} moves, healing for 1/4 max [HP]{mechanic:hp}."
12,9,Prevents [infatuation]{mechanic:infatuation} and protects against []{move:captivate}.
13,9,"Negates all effects of [weather]{mechanic:weather}, but does not prevent the weather itself."
14,9,Increases moves' [accuracy]{mechanic:accuracy} to 1.3×.
15,9,Prevents [sleep]{mechanic:sleep}.
16,9,Changes type to match when hit by a damaging move.
17,9,Prevents [poison]{mechanic:poison}.
18,9,"Protects against []{type:fire} moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
19,9,Protects against incoming moves' extra effects.
20,9,Prevents [confusion]{mechanic:confusion}.
21,9,Prevents being forced out of battle by other Pokémon's moves.
22,9,Lowers opponents' [Attack]{mechanic:attack} one [stage]{mechanic:stat-modifier} upon entering battle.
23,9,Prevents opponents from fleeing or switching out.
24,9,Damages attacking Pokémon for 1/8 their max [HP]{mechanic:hp} on contact.
25,9,Protects against damaging moves that are not [super effective]{mechanic:super-effective}.
26,9,Evades []{type:ground} moves.
27,9,"Has a 30% chance of inflcting either [paralysis]{mechanic:paralysis}, [poison]{mechanic:poison}, or [sleep]{mechanic:sleep} on attacking Pokémon on contact."
28,9,"Copies [burns]{mechanic:burn}, [paralysis]{mechanic:paralysis}, and [poison]{mechanic:poison} received onto the Pokémon that inflicted them."
29,9,Prevents stats from being [lowered]{mechanic:stat-modifier} by other Pokémon.
30,9,Cures any [major status ailment]{mechanic:major-status-ailment} upon switching out.
31,9,"Redirects single-target []{type:electric} moves to this Pokémon where possible.  Absorbs Electric moves, raising [Special Attack]{mechanic:special-attack} one [stage]{mechanic:stat-modifier}."
32,9,Doubles the chance of moves' extra effects occurring.
33,9,Doubles [Speed]{mechanic:speed} during [rain]{mechanic:rain}.
34,9,Doubles [Speed]{mechanic:speed} during [strong sunlight]{mechanic:strong-sunlight}.
35,9,Doubles the wild encounter rate.
36,9,Copies an opponent's ability upon entering battle.
37,9,Doubles [Attack]{mechanic:attack} in battle.
38,9,Has a 30% chance of [poisoning]{mechanic:poison} attacking Pokémon on contact.
39,9,Prevents [flinching]{mechanic:flinching}.
40,9,Prevents [freezing]{mechanic:freezing}.
41,9,Prevents [burns]{mechanic:burn}.
42,9,Prevents []{type:steel} opponents from fleeing or switching out.
43,9,Protects against sound-based moves.
44,9,Heals for 1/16 max [HP]{mechanic:hp} after each turn during [rain]{mechanic:rain}.
45,9,Summons a [sandstorm]{mechanic:sandstorm} that lasts indefinitely upon entering battle.
46,9,Increases the [PP]{mechanic:pp} cost of moves targetting the Pokémon by one.
47,9,Halves damage from []{type:fire} and []{type:ice} moves.
48,9,Makes [sleep]{mechanic:sleep} pass twice as quickly.
49,9,Has a 30% chance of [burning]{mechanic:burn} attacking Pokémon on contact.
50,9,Ensures success fleeing from wild battles.
51,9,Prevents [accuracy]{mechanic:accuracy} from being [lowered]{mechanic:stat-modifier}.
52,9,Prevents [Attack]{mechanic:attack} from being [lowered]{mechanic:stat-modifiers} by other Pokémon.
53,9,Picks up other Pokémon's used and [Flung]{move:fling} held items.  May also pick up an item after battle.
54,9,Skips every second turn.
55,9,"Strengthens physical moves to inflict 1.5× damage, but decreases their [accuracy]{mechanic:accuracy} to 0.8×."
56,9,Has a 30% chance of [infatuating]{mechanic:infatuation} attacking Pokémon on contact.
57,9,Increases [Special Attack]{mechanic:special-attack} to 1.5× when a friendly Pokémon has []{ability:plus} or []{ability:minus}.
58,9,Increases [Special Attack]{mechanic:special-attack} to 1.5× when a friendly Pokémon has []{ability:plus} or []{ability:minus}.
59,9,Changes []{pokemon:castform}'s type and form to match the [weather]{mechanic:weather}.
60,9,Prevents a held item from being removed by other Pokémon.
61,9,Has a 33% chance of curing any [major status ailment]{mechanic:major-status-ailment} after each turn.
62,9,Increases [Attack]{mechanic:attack} to 1.5× with a [major status ailment]{mechanic:major-status-ailment}.
63,9,Increases [Defense]{mechanic:defense} to 1.5× with a [major status ailment]{mechanic:major-status-ailment}.
64,9,Damages opponents using leeching moves for as much as they would heal.
65,9,Strengthens []{type:grass} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.
66,9,Strengthens []{type:fire} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.
67,9,Strengthens []{type:water} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.
68,9,Strengthens []{type:bug} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.
69,9,Protects against recoil damage.
70,9,Summons [strong sunlight]{mechanic:strong-sunlight} that lasts indefinitely upon entering battle.
71,9,Prevents opponents from fleeing or switching out.  Eluded by []{type:flying}-types and Pokémon in the air.
72,9,Prevents [sleep]{mechanic:sleep}.
73,9,Prevents stats from being [lowered]{mechanic:stat-modifier} by other Pokémon.
74,9,Doubles [Attack]{mechanic:attack} in battle.
75,9,Protects against [critical hits]{mechanic:critical-hit}.
76,9,"Negates all effects of [weather]{mechanic:weather}, but does not prevent the weather itself."
77,9,Doubles [evasion]{mechanic:evasion} when [confused]{mechanic:confusion}.
78,9,"Absorbs []{type:electric} moves, raising [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier}."
79,9,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
80,9,Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} upon [flinching]{mechanic:flinching}.
81,9,Increases evasion to 1.25× during [hail]{mechanic:hail}.  Protects against hail damage.
82,9,Makes the Pokémon eat any held Berry triggered by low [HP]{mechanic:hp} below 1/2 its max HP.
83,9,Raises [Attack]{mechanic:attack} to the maximum of six [stages]{mechanic:stat-modifier} upon receiving a [critical hit]{mechanic:critical-hit}.
84,9,Doubles [Speed]{mechanic:speed} upon using or losing a held item.
85,9,Halves damage from []{type:fire} moves and [burns]{mechanic:burn}.
86,9,Doubles the Pokémon's [stat modifiers]{mechanic:stat-modifiers}.  These doubled modifiers are still capped at -6 or 6 stages.
87,9,"Causes 1/8 max [HP]{mechanic:hp} in damage each turn during [strong sunlight]{mechanic:strong-sunlight}, but heals for 1/8 max HP during [rain]{mechanic:rain}.  Increases damage from []{type:fire} moves to 1.25×, but absorbs []{type:water} moves, healing for 1/4 max HP."
88,9,Raises the attack stat corresponding to the opponents' weaker defense one [stage]{mechanic:stat-modifier} upon entering battle.
89,9,Strengthens punch-based moves to 1.2× their power.
90,9,Heals for 1/8 max [HP]{mechanic:hp} after each turn when [poisoned]{mechanic:poison} in place of damage.
91,9,Increases the [same-type attack bonus]{mechanic:same-type-attack-bonus} from 1.5× to 2×.
92,9,Extends two-to-five-hit moves and []{move:triple-kick} to their full length every time.
93,9,Cures any [major status ailment]{mechanic:major-status-ailment} after each turn during [rain]{mechanic:rain}.
94,9,Increases [Special Attack]{mechanic:special-attack} to 1.5× but costs 1/8 max [HP]{mechanic:hp} after each turn during [strong sunlight]{mechanic:strong-sunlight}.
95,9,Increases [Speed]{mechanic:speed} to 1.5× with a [major status ailment]{mechanic:major-status-ailment}.
96,9,Makes the Pokémon's moves all act []{type:normal}-type.
97,9,Strengthens [critical hits]{mechanic:critical-hit} to inflict 3× damage rather than 2×.
98,9,Protects against damage not directly caused by a move.
99,9,Ensures all moves used by and against the Pokémon hit.
100,9,Makes the Pokémon move last within its move's priority bracket.
101,9,Strengthens moves of 60 base power or less to 1.5× their power.
102,9,Protects against [major status ailments]{mechanic:major-status-ailments} during [strong sunlight]{mechanic:strong-sunlight}.
103,9,Prevents the Pokémon from using its held item in battle.
104,9,Bypasses targets' abilities if they could hinder or prevent a move.
105,9,Raises moves' [critical hit]{mechanic:critical-hit} rates one stage.
106,9,Damages the attacker for 1/4 its max [HP]{mechanic:hp} when knocked out by a contact move.
107,9,"Notifies all trainers upon entering battle if an opponent has a [super-effective]{mechanic:super-effective} move, []{move:self-destruct}, []{move:explosion}, or a one-hit KO move."
108,9,Reveals the opponents' strongest move upon entering battle.
109,9,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
110,9,Doubles damage inflicted with [not-very-effective]{mechanic:not-very-effective} moves.
111,9,Decreases damage taken from [super-effective]{mechanic:super-effective} moves by 1/4.
112,9,Halves [Attack]{mechanic:attack} and [Speed]{mechanic:speed} for five turns upon entering battle.
113,9,Lets the Pokémon's []{type:normal} and []{type:fighting} moves hit []{type:ghost} Pokémon.
114,9,"Redirects single-target []{type:water} moves to this Pokémon where possible.  Absorbs Water moves, raising [Special Attack]{mechanic:special-attack} one [stage]{mechanic:stat-modifier}."
115,9,Heals for 1/16 max [HP]{mechanic:hp} after each turn during hail.  Protects against hail damage.
116,9,Decreases damage taken from [super-effective]{mechanic:super-effective} moves by 1/4.
117,9,Summons [hail]{mechanic:hail} that lasts indefinitely upon entering battle.
118,9,The Pokémon may pick up []{item:honey} after battle.
119,9,Reveals an opponent's held item upon entering battle.
120,9,Strengthens recoil moves to 1.2× their power.
121,9,Changes []{pokemon:arceus}'s type and form to match its held Plate.
122,9,Increases friendly Pokémon's [Attack]{mechanic:attack} and [Special Defense]{mechanic:special-defense} to 1.5× during [strong sunlight]{mechanic:strong-sunlight}.
123,9,Damages [sleeping]{mechanic:sleep} opponents for 1/8 their max [HP]{mechanic:hp} after each turn.
124,9,Steals attacking Pokémon's held items on contact.
125,9,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
126,9,Inverts [stat changes]{mechanic:stat-modifiers}.
127,9,Prevents opposing Pokémon from eating held Berries.
128,9,Raises [Attack]{mechanic:attack} two [stages]{mechanic:stat-modifier} upon having any stat lowered.
129,9,Halves [Attack]{mechanic:attack} and [Special Attack]{mechanic:special-attack} at 50% max [HP]{mechanic:hp} or less.
130,9,Has a 30% chance of [Disabling]{move:disable} any move that hits the Pokémon.
131,9,Has a 30% chance of curing each adjacent ally of any [major status ailment]{mechanic:major-status-ailment} after each turn.
132,9,Decreases all direct damage taken by friendly Pokémon to 0.75×.
133,9,Raises [Speed]{mechanic:speed} and lowers [Defense]{mechanic:defense} by one stage each upon being hit by a physical move.
134,9,Doubles the Pokémon's weight.
135,9,Halves the Pokémon's weight.
136,9,Halves damage taken from full [HP]{mechanic:hp}.
137,9,Increases [Attack]{mechanic:attack} to 1.5× when [poisoned]{mechanic:poison}.
138,9,Increases [Special Attack]{mechanic:special-attack} to 1.5× when [burned]{mechanic:burn}.
139,9,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
140,9,Protects against friendly Pokémon's damaging moves.
141,9,Raises a random stat two [stages]{mechanic:stat-modifier} and lowers another one stage after each turn.
142,9,Protects against damage from [weather]{mechanic:weather}.
143,9,Has a 30% chance of [poisoning]{mechanic:poison} target Pokémon upon contact.
144,9,Heals for 1/3 max [HP]{mechanic:hp} upon switching out.
145,9,Protects against [Defense]{mechanic:defense} drops.
146,9,Doubles [Speed]{mechanic:speed} during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage.
147,9,Lowers incoming non-damaging moves' base [accuracy]{mechanic:accuracy} to exactly 50%.
148,9,Strengthens moves to 1.3× their power when moving last.
149,9,Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.
150,9,[Transforms]{move:transform} upon entering battle.
151,9,"Bypasses []{move:light-screen}, []{move:reflect}, and []{move:safeguard}."
152,9,Changes attacking Pokémon's abilities to Mummy on contact.
153,9,Raises [Attack]{mechanic:attack} one stage upon KOing a Pokémon.
154,9,Raises [Attack]{mechanic:attack} one stage upon taking damage from a []{type:dark} move.
155,9,"Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} upon being hit by a []{type:dark}, []{type:ghost}, or []{type:bug} move."
156,9,Reflects most non-damaging moves back at their user.
157,9,"Absorbs []{type:grass} moves, raising [Attack]{mechanic:attack} one [stage]{mechanic:stat-modifier}."
158,9,Raises non-damaging moves' priority by one stage.
159,9,"Strengthens []{type:rock}, []{type:ground}, and []{type:steel} moves to 1.3× their power during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage."
160,9,Damages attacking Pokémon for 1/8 their max [HP]{mechanic:hp} on contact.
161,9,"Changes []{pokemon:darmanitan}'s form after each turn depending on its [HP]{mechanic:hp}: Zen Mode below 50% max HP, and Standard Mode otherwise."
162,9,Increases moves' accuracy to 1.1× for friendly Pokémon.
163,9,Bypasses targets' abilities if they could hinder or prevent moves.
164,9,Bypasses targets' abilities if they could hinder or prevent moves.
165,9,Protects allies against moves that affect their mental state.
166,9,Protects friendly []{type:grass} Pokémon from having their stats lowered by other Pokémon.
167,9,"Restores HP upon eating a Berry, in addition to the Berry's effect."
168,9,Changes the bearer's type to match each move it uses.
169,9,Halves damage from physical attacks.
170,9,Steals the target's held item when the bearer uses a damaging move.
171,9,"Protects against bullet, ball, and bomb-based moves."
172,9,Raises Special Attack by two stages upon having any stat lowered.
173,9,Strengthens biting moves to 1.5× their power.
174,9,Turns the bearer's []{type:normal} moves into []{type:ice} moves and strengthens them to 1.3× their power.
175,9,Prevents friendly Pokémon from sleeping.
176,9,"Changes []{pokemon:aegislash} to Blade Forme before using a damaging move, or Shield Forme before using []{move:kings-shield}."
177,9,Raises []{type:flying} moves' priority by one stage.
178,9,Strengthens aura and pulse moves to 1.5× their power.
179,9,Boosts Defense while []{move:grassy-terrain} is in effect.
180,9,Passes the bearer's held item to an ally when the ally uses up its item.
181,9,Strengthens moves that make contact to 1.33× their power.
182,9,Turns the bearer's []{type:normal} moves into []{type:fairy} moves and strengthens them to 1.3× their power.
183,9,Lowers attacking Pokémon's Speed by one stage on contact.
184,9,Turns the bearer's []{type:normal} moves into []{type:flying} moves and strengthens them to 1.3× their power.
185,9,Lets the bearer hit twice with damaging moves.  The second hit has half power.
186,9,Strengthens []{type:dark} moves to 1.33× their power for all friendly and opposing Pokémon.
187,9,Strengthens []{type:fairy} moves to 1.33× their power for all friendly and opposing Pokémon.
188,9,Makes []{ability:dark-aura} and []{ability:fairy-aura} weaken moves of their respective types.
189,9,
190,9,
191,9,